Observation Date,Preliminary Data,Vehicle Sales,Number of Private Employees,Employee Percentage of Total USA Pop
2019-01-01,FALSE,17.265,127581,38.72%
2019-02-01,FALSE,17.185,127595,38.72%
2019-03-01,FALSE,17.656,127787,38.78%
2019-04-01,FALSE,16.997,128037,38.86%
2019-05-01,FALSE,17.840,128117,38.88%
2019-06-01,FALSE,17.832,128246,38.92%
2019-07-01,FALSE,17.597,128364,38.96%
2019-08-01,FALSE,17.645,128482,38.99%
2019-09-01,FALSE,17.714,128589,39.03%
2019-10-01,FALSE,17.230,128657,39.05%
2019-11-01,FALSE,17.557,128875,39.11%
2019-12-01,FALSE,17.339,129058,39.17%
2020-01-01,FALSE,17.306,129344,39.25%
2020-02-01,FALSE,17.337,129625,39.34%
2020-03-01,FALSE,11.635,128181,38.90%
2020-04-01,FALSE,8.961,108609,32.96%
2020-05-01,FALSE,12.438,111734,33.91%
2020-06-01,FALSE,13.447,116244,35.28%
2020-07-01,FALSE,15.089,117537,35.67%
2020-08-01,FALSE,15.677,118750,36.04%
2020-09-01,FALSE,16.703,119709,36.33%
2020-10-01,FALSE,16.852,120508,36.57%
2020-11-01,FALSE,16.339,120914,36.70%
2020-12-01,FALSE,16.761,120806,36.66%
2021-01-01,FALSE,17.287,121229,36.79%
2021-02-01,FALSE,16.392,121922,37.00%
2021-03-01,FALSE,18.155,122572,37.20%
2021-04-01,FALSE,18.780,122784,37.26%
2021-05-01,FALSE,17.392,123165,37.38%
2021-06-01,FALSE,15.948,123673,37.53%
2021-07-01,FALSE,15.104,124311,37.73%
2021-08-01,FALSE,13.503,124808,37.88%
2021-09-01,FALSE,12.692,125217,38.00%
2021-10-01,FALSE,13.486,125911,38.21%
2021-11-01,FALSE,13.474,126538,38.40%
2021-12-01,FALSE,13.004,127099,38.57%
2022-01-01,FALSE,15.459,127591,38.72%
2022-02-01,TRUE,14.424,128330,38.95%
2022-03-01,TRUE,13.727,128756,39.08%
